Algorithm,Sequential Compression Ratio,Sequential Write Transfer Speed (MB/s),Sequential Write IOPS,Sequential Read Transfer Speed (MB/s),Sequential Read IOPS,Sequential Read/Write Transfer Speed (MB/s),Sequential Read/Write IOPS,Random Compression Ratio,Random Write Transfer Speed (MB/s),Random Write IOPS,Random Read Transfer Speed (MB/s),Random Read IOPS,Random Read/Write Transfer Speed (MB/s),Random Read/Write IOPS,Normalized Sequential Compression Ratio,Normalized Sequential Write Transfer Speed (MB/s),Normalized Sequential Write IOPS,Normalized Sequential Read Transfer Speed (MB/s),Normalized Sequential Read IOPS,Normalized Sequential Read/Write Transfer Speed (MB/s),Normalized Sequential Read/Write IOPS,Normalized Random Compression Ratio,Normalized Random Write Transfer Speed (MB/s),Normalized Random Write IOPS,Normalized Random Read Transfer Speed (MB/s),Normalized Random Read IOPS,Normalized Random Read/Write Transfer Speed (MB/s),Normalized Random Read/Write IOPS,Score
zstd-fast-4,1.91,1419757,11091,4748985,37101,1257741,10710,1.08,321633,40204,1868187.0,233523.0,775390,46139,0.5218579234972677,0.9592719366285685,0.9592631032693306,0.6463767603069789,0.6463701458213558,0.7685253983345595,0.7685132032146957,0.5454545454545455,0.9352188932052385,0.9352159854846589,0.7970356484161782,0.7970367488199216,0.9001415123361841,0.9001502233841231,0.6113626697453872
zle,1.0,899725,7029,7347085,57399,170063,1448,1.0,205236,25654,2343919.0,292989.0,296811,17661,0.27322404371584696,0.6079075103578562,0.6079398028022833,1.0,1.0,0.1039146651154492,0.10390355912743972,0.5050505050505051,0.5967689408918561,0.5967573100095374,1.0,1.0,0.3445645448329423,0.344557816493357,0.6087348898824309
zstd-fast-5,1.83,1250687,9770,4934939,38554,1316054,11207,1.07,327156,40894,1840898.0,230112.0,759221,45177,0.5,0.84503822879984,0.8450095139249265,0.671686662125183,0.6716841756825032,0.80415675769478,0.8041762342135477,0.5404040404040404,0.9512782339668288,0.9512666030845099,0.7853931812490107,0.7853946735201662,0.8813711024612002,0.881382055133933,0.602658500089706
off,1.0,981665,7669,7217621,56387,195741,1666,1.0,235673,29459,2223066.0,277883.0,295473,17581,0.27322404371584696,0.6632710285425489,0.6632935478290953,0.9823788618207084,0.9823690308193522,0.11960485504997055,0.11954649827784156,0.5050505050505051,0.6852712321756729,0.6852683244550931,0.9484397711695669,0.9484417503728809,0.3430112757122343,0.34299705406090875,0.5940822305575864
zstd-fast-6,1.76,1392013,10875,4392493,34316,1288250,10970,1.06,322646,40330,1876746.0,234593.0,771374,45900,0.4808743169398907,0.9405264466540003,0.9405812143227815,0.5978552037985133,0.5978501367619645,0.7871675046011033,0.7871699196326062,0.5353535353535354,0.9381644141524577,0.9381469678289795,0.8006872251131545,0.800688763059364,0.8954793831966,0.895487445617184,0.591593236896742
zstd-fast-7,1.7,1311769,10248,4525966,35359,1281232,10910,1.05,324114,40514,1905116.0,238139.0,760984,45281,0.46448087431693985,0.8863088465415706,0.8863518422418267,0.6160220005621277,0.6160211850380669,0.7828792518960456,0.7828645235361653,0.5303030303030303,0.9424329479634325,0.9424271325222732,0.8127908856918691,0.8127916065108246,0.8834177492921481,0.8834110462961157,0.5897503430326554
zstd-fast-9,1.62,1416076,11063,4513498,35261,1317107,11216,1.03,317396,39674,1938934.0,242366.0,709264,42204,0.4426229508196721,0.9567848349634739,0.9568413769244075,0.6143250010037995,0.614313838220178,0.8048001789114266,0.8048220436280138,0.5202020202020202,0.9228988811091209,0.9228872502268022,0.827218858672164,0.8272187693053323,0.8233765841777831,0.8233802212380747,0.5830936684649597
lzjb,1.49,782425,6112,2030235,15861,667904,5687,1.02,188040,23505,2323971.0,290496.0,512320,30485,0.40710382513661203,0.5286526814212628,0.5286282650060543,0.276332041891444,0.27632885590341294,0.40811358431445394,0.4080797933409874,0.5151515151515151,0.5467677778036242,0.5467677778036242,0.9914894669994996,0.9914911481318411,0.594746514141366,0.5947480344148116,0.5779398504673154
zstd-fast-8,1.66,1363061,10648,4667806,36467,1323459,11270,1.04,305899,38237,1800439.0,225054.0,755371,44947,0.45355191256830596,0.920964760316641,0.9209479328835841,0.6353276163267473,0.6353246572239934,0.808681481445272,0.8086969001148105,0.5252525252525253,0.8894688176045035,0.8894600944427644,0.7681319192344104,0.7681312267696057,0.8769016808507921,0.8768948631406442,0.5754692300236763
zstd-fast-10,1.59,1320225,10314,5025766,39263,999019,8507,1.02,308840,38605,1777006.0,222125.0,684949,40757,0.4344262295081967,0.8920222210811088,0.8920601971977167,0.684048979969607,0.6840363072527396,0.6104368665081231,0.6104334098737084,0.5151515151515151,0.8980204238293517,0.8980204238293517,0.7581345601106523,0.7581342644263095,0.7951495747084137,0.795149930741167,0.5685680959873406
zstd-fast-30,1.24,1141742,8919,5010397,39143,1154546,9831,1.0,293252,36656,2000488.0,250061.0,808288,48096,0.33879781420765026,0.771428532819472,0.7714063310845874,0.6819571299365667,0.6819456784961411,0.7054695080669011,0.705439150401837,0.5050505050505051,0.8526948754332504,0.8526832445509316,0.8534800050684346,0.8534825539525375,0.9383324297749385,0.9383303743878885,0.5599722273677203
zstd-fast-80,1.08,1413632,11044,4949848,38670,1257741,10710,1.0,343336,42917,2105912.0,263239.0,861409,51257,0.29508196721311475,0.9551335237791513,0.955198062618924,0.6737159022932224,0.6737051168138818,0.7685253983345595,0.7685132032146957,0.5050505050505051,0.9983251529461025,0.9983251529461025,0.8984576685457134,0.8984603517538201,1.0,1.0,0.5572778665514544
zstd-fast-50,1.12,1287038,10054,4681142,36571,1320275,11242,1.0,326049,40756,1983535.0,247941.0,798829,47533,0.30601092896174864,0.8695991178592953,0.8695727382805742,0.6371427579781641,0.6371365354797122,0.8067359418880043,0.8066877152698049,0.5050505050505051,0.9480593872851194,0.9480564795645398,0.8462472465985386,0.8462467874220534,0.9273515832780944,0.927346508769534,0.5438463058596859
zstd-fast-90,1.07,1452482,11347,4776676,37317,1395240,11881,1.0,343912,42989,1985939.0,248242.0,658256,39169,0.2923497267759563,0.9813828852811688,0.9814046012800554,0.6501457380716298,0.6501332775832331,0.8525422776011204,0.8525401836969001,0.5050505050505051,1.0,1.0,0.8472728793102492,0.8472741297454853,0.7641619718391612,0.7641687964570693,0.5413044549951582
zstd-fast-60,1.1,1406351,10987,4995121,39024,1340703,11416,1.0,339917,42489,1914018.0,239252.0,820841,48843,0.3005464480874317,0.9502140488474604,0.9502681197024736,0.6798779379849287,0.6798724716458475,0.8192181912836894,0.8191733639494834,0.5050505050505051,0.9883836562841657,0.9883691176812673,0.8165887985037026,0.8165903839393288,0.9529050660023287,0.9529039936008741,0.5390664543433232
zstd-fast-20,1.38,1185528,9261,4589355,35854,1212359,10324,1.0,299087,37385,1741126.0,217640.0,689562,41031,0.3770491803278688,0.8010129483336892,0.8009859885832901,0.6246497760676514,0.6246450286590358,0.7407953492805659,0.7408151549942594,0.5050505050505051,0.8696614250157017,0.8696410709716439,0.7428268638976006,0.7428265224974316,0.8005047544197936,0.8004955420723023,0.5380535643562989
zstd-fast-70,1.08,1480036,11562,4776676,37317,1317107,11216,1.0,336013,42001,1911785.0,238973.0,843232,50176,0.29508196721311475,1.0,1.0,0.6501457380716298,0.6501332775832331,0.8048001789114266,0.8048220436280138,0.5050505050505051,0.9770319151410826,0.9770173765381842,0.8156361205314688,0.8156381297591377,0.978898525555224,0.978910197631543,0.5342151271297189
zstd-fast-1000,1.0,1303420,10182,4721613,36887,1215940,10354,1.0,342403,42800,1955131.0,244391.0,600366,35724,0.27322404371584696,0.8806677675407896,0.8806434872859367,0.6426512011226221,0.6426418578720884,0.7429834702461987,0.7429678530424799,0.5050505050505051,0.9956122496452581,0.995603526483519,0.8341290803991094,0.8341302915809126,0.6969581232608436,0.6969584642097665,0.5315316485648678
zstd-fast-40,1.15,1311769,10248,4964848,38787,1318161,11224,1.0,323028,40378,1798463.0,224807.0,723674,43061,0.314207650273224,0.8863088465415706,0.8863518422418267,0.6757575283258599,0.6757434798515654,0.8054442111643663,0.8053960964408725,0.5050505050505051,0.9392751634138966,0.9392635325315778,0.7672888866893438,0.7672881917068559,0.8401049907767391,0.8400998887956767,0.5304263677615144
zstd-fast-100,1.06,1401539,10949,4289005,33507,1287243,10961,1.0,306931,38366,1676970.0,209621.0,601910,35816,0.2896174863387978,0.9469627765811102,0.9469814910915066,0.5837696174741411,0.5837558145612293,0.7865521910539398,0.7865241102181401,0.5050505050505051,0.8924695852427366,0.8924608620809975,0.7154556108807514,0.7154568942861336,0.6987505354599267,0.698753341007082,0.5008927276969725
zstd-fast-500,1.0,1399146,10930,4476502,34972,1299434,11065,1.0,310303,38787,1584526.0,198065.0,699573,41627,0.27322404371584696,0.9453459240180644,0.9453381767860232,0.6092895345569025,0.6092789072980366,0.7940013345032642,0.7939867967853043,0.5050505050505051,0.9022744190374282,0.9022540649933704,0.6760156814292644,0.6760151405001553,0.8121264114955845,0.8121232221940418,0.48866656573727335
gzip-1,2.62,189651,1481,1498993,11710,318203,2709,1.82,229435,28679,,,556710,33126,0.7158469945355191,0.12813945066201093,0.12809202560110708,0.2040255421027523,0.20401052283140822,0.19443358157701135,0.1943886337543054,0.9191919191919192,0.6671328711996092,0.6671241480378701,,,0.646278364865006,0.6462727042160096,
